reviewText,overall
"I bought this to use with my keyboard. I really didn't know there were other options for the keyboard pedal. It's not as smooth as the pedal on the acoustic piano I've been using. I don't feel the same. impossible. In my opinion, continuous pedals with piano style actions such as M-Audio SP-2 or other similar pedals are a better choice. The price difference is only a few dollars. It feels and moves much better. I found that the only advantage of Yamaha FC-5 support pedal is that it occupies the drawer space where I store the electric guitar pedal.",2
"I bought this for use with the keyboard. I really didn't know there were other options for the keyboard pedal. It's not as smooth as the acoustic piano pedal I've been using. I feel different. It's impossible. In my opinion, a continuous pedal or similar pedal with piano style sports, such as M-Audio SP-2, is a better choice. The price difference is only a few dollars, and the mood and action are much better. I found that the only advantage of Yamaha FC-5 bracket pedal is that it occupies the drawer space of my electric guitar pedal.",2
"I bought this for my keyboard. I really didn't realize there were other options for keyboard pedals. Doesn't work as smooth as the pedal does on an acoustic piano. Neither has the same feeling. Not closed anywhere. In my opinion, sustain pedal like M-Audio SP-2 is far better choice to sustain piano style action and other similar pedals and pedals. The price difference is only a few dollars, and the feeling and action are very good. The only thing I've found the Yamaha FC-5 sustain pedal is that I'm taking space in the drawer I hold my electric guitar pedal.",2
"I bought this to use with the keyboard. I didn't know there were any other options for keyboard pedals. It doesn't work without hitches like pedals do on an acoustic piano, which is what I've always used. He doesn't even feel the same way. Not anywhere. In my opinion, a pedal supported as M-Audio SP-2 Sustain Pedal with Plan Style Action or other similar pedal is a much better choice. The price difference is only a few dollars and the feeling and action are much better. The only reason I found the Yamaha FC-5 Sustain Pedal is to make room in a drawer where I keep my electric pedals.",2
"I bought this to use with my keyboard. I didn't really know there were other options for keyboard pedals. It doesn't work as smoothly as the pedals on an acoustic piano, which I always used. He doesn't feel the same way. Nowhere close. In my opinion, a supporting pedal such as the M-Audio SP-2 Sustain Pedal with Piano Style Action or another similar pedal is a much better choice. The price difference is only a few dollars and the feeling and action are so much better. The only thing I found the Yamaha FC-5 Sustain Pedal for is taking space in a drawer where I keep my electric guitar pedals.",2
"I bought this with my keyboard. I didn't really know there were other options for keyboard pedals. It doesn't work as smoothly as the pedals on an acoustic piano, which is what I've always used. Doesn't feel the same. Nowhere near here. In my opinion, a Sustain Pedal such as the M-Audio SP-2 Sustain Pedal with Piano Style Action or another similar Pedal is a much better choice. The price difference is only a few dollars and the feeling and action are much better. The only thing I like the Yamaha FC-5 Sustain Pedal for is to take a seat in a drawer where I keep my electric guitar pendant.",2
"I bought this to use with my keyboard. I didn't know there were any other options for keyboards. It doesn't work as smoothly as the pedals on an acoustic piano, which is what I've always used. Nor does it feel the same. Not even close. In my opinion, a sustainable foot key such as M-Audio SP-2 Sustain Pedal with Piano Style action or other similar pedal is a much better option. The price difference is a few dollars and the feeling and action are much better. The only thing I found the Yamaha FC-5 Sustain Pedal for is taking up space in a drawer where I have my electric five-guitar.",2
"I bought this to use with my keyboard. I really don't know if there are any other options on the keyboard pedal. It's not as calm as the pedal of the acoustic piano I've been using. I don't feel the same That's outrageous. In my opinion, like M-Audio SP-2, continuous pedal with piano style action or other similar pedal is a better choice. The price difference is only a few dollars, and the action will be much better. I found that the only advantage of supporting Yamaha FC-5 pedal is that I occupy a drawer space for storing electric guitar pedal.",2
"I bought this to use with my keyboard. I really didn't know there were other options for the keyboard pedal. It's not as soft as the original piano pedal I've used. It feels different. No, no, No. In my opinion, a continuous pedal or similar pedal and piano style sports, such as M-Audio SP-2, is a better choice. The price difference is only a few dollars, and the feeling and movement are much better. I found that the only advantage of Yamaha FC-5 support pedals is that they occupy the drawer space of my guitar pedal.",2
"I bought this and used it on my keyboard. I really didn't know there were other keyboard options. It's not going well. In the old piano, I use it. It's impossible without the same feeling. I think this is a better choice, or similar projects like M-Audio SP-2 and bianotype sports. Only a few dollars of space and feeling and movement are better. I found a good thing about Yamaha's pine needle supporters is my drawer space, I collect electric guitars.",2
"I bought this and used it on my keyboard. I really don't know if there are any other options on the keyboard pedal. It's not as smooth as the pedal on the piano I used before. I feel different In my opinion, it is impossible. Pedals with piano action style such as M-Audio SP-2 or other similar continuous pedals are the best choice. It's only a few dollars short. I feel and move much better. I found that the uniqueness of Yamaha FC-5 pedal is that it occupies the drawer space of my electric guitar pedal.",2
"I bought it with the keyboard. I don't know if there are other options for the keyboard pedal. It's not as smooth as the piano pedal I've been using. I don't think so. I don't think so. In my opinion, it's best to choose pedals like M-Audio SP-2, which have fixed actions in piano style, or other similar pedals. The price is only a few dollars, feeling and action are much better. The only advantage I found was that I had a place in the electric guitar pedal drawer.",2
"I bought this to use with my keyboard. I didn't know there were other options for keyboard pedals. It doesn't work as well as the pedals work on an acoustic piano, which is what I've always used. You don't have the same feeling either. In my opinion, a support pedal such as the M-Audio SP-2 Sustain Pedal with Piano Style Action or another similar pedal is a much better choice. The price difference is only a few dollars and the feeling and action are much better. The only thing I found the Yamaha FC-5 Sustain Pedal is good for taking space in a drawer where I keep my electric guitar pedals.",2
"I bought it for keyboard use. I didn't know there were other options for keyboard pedals. It doesn't work as smoothly as the pedals on the acoustic piano that I've always used. Nowhere near here. In my opinion, a maintenance pedal such as M-Audio SP-2 Sustain Pedal with Piano Style Action or another similar pedal is a much better choice. The price difference is just a few dollars and the feeling and action are much better. The only thing I'm good for is sitting in a drawer where I keep my electric guitar pedals.",2
"I didn't expect this cable to be so thin. Its thickness is easily 1 / 2 the thickness of any guitar line I have used. Uncertain long-term durability or signal loss / interference. If I had foresight, I would spend a few more dollars on a thicker cable. Nevertheless, it is still effective and cheap. Editor: six months later, it was dead. The wire on the right angle jack is worn. You get what you pay for.",2
"I didn't expect this wire to be so thin. Its thickness is easily 1 / 2 the thickness of any guitar line I have used. Uncertainty of long-term durability or signal loss / interference. If I had foresight, I would spend more money on a thicker cable. However, it is still efficient and cheap. Six months later, he died. The wire of the right plug is worn.",2
"I didn't expect this cable to be very thin. The thickness of any guitar cable I used is 1 / 2 easily. I don't know long-term durability and signal loss / interference. If I had foresight I would spend $2 extra dollars on thicker cables. Still it worked and was cheap. Editing: six months later, it is already dead. The wire framed with a right angle Jack. You get what you pay.",2
"I didn't expect this cable to be so thin. It's easily 1/2 the thickness of every guitar wire I've ever used. I'm not sure of long-term duration or signal loss/interference. If I had the foresight, I'd spend a couple extra bucks on a denser cable. Anyway, it works, and it was cheap. Six months later, he's already dead. The thread on the right. You'll get what you pay for.",2
"I didn't expect this cable to be so thin. It's easily 1/2 the thickness of every guitar cable I've used. Not certain about long-term sustainability or signal loss/interference. If I had that foresight, I'd spend a few extra dollars on a fatter cable. But it worked and it was cheap. Six months later, it's already dead. Wire ripped at the right angle. You get what you pay for.",2
"I didn't expect the cable to be this thin. It's easily 1/2 the thickness of every guitar cable I've ever used. I am not sure whether it is a long-term durability or signal loss/interference. If I were predictive, I'd spend a few bucks on a thicker cable. Yet it works and was cheap. Six months later, he's already dead. The wire is cut at the right angle. You get what you pay for.",2
"I didn't expect this wire to be so thin. It's easy 1/2 the thickness of every guitar wire I've ever used. I'm not sure about long-term resistance or signal loss/interference. If I had the foresight, I'd spend a few extra dollars on a thicker wire. Still, it works, and it was cheap. Six months later, and he's already dead. The wire's bent from the right angle. You get what you pay for.",2
"I didn't expect this cable to be so thin. It's easy to be 1 / 2 the thickness of other lines I've used. Long term durability or signal loss / interference uncertainty. If I had foresight, I would spend a few more dollars on a thicker cable. Nevertheless, it is still effective and cheap. Editor: died six months later. The wires on the right angle Jack roof are worn. A penny is a thing.",2
"I didn't expect this wire to be so thin. It's easily 1 / 2 the thickness of any guitar string I've ever used. Long term durability or uncertainty of signal loss / interference. If I had foresight, I would pay a few more dollars for a thicker cable. However, it is still effective and cheap. Six months later, he died. The cable on the right angle jack is worn. A penny and a penny.",2
