,reviewText,overall
0,"I had it to have it if I needed it. I found that I do not really need it as often and rarely use it. If I were really good, I can see the need. But it's a keyboard not an organ. ",4
1,"I have it to have it when I needed it. I have discovered that I don't really need it often and rarely use. If I were really good, I can see the need. But this is a keyboard and no organ. ",4
2,"This fender cable is the perfect length for me! Sometimes I find it a little too long but it does not bother me. The quality of construction is great and I know it will last. The only grapet I have with this cable is that the metal sleeve is avoided too easily, requires me to tighten them often. The quality of the environment is not affected, and the color is cool, certainly try this cable. ",4
3,"This mudguard cable is the perfect length for me! Sometimes I find it a bit too long, but I don't mind. The building quality is great and I know it will take. The only complaint I have with this cable is that the metal sleeve is screwed too easily, so that I often tighten it. Quality is not affected, and the color is cool, try this cable for sure. ",4
4,"This is a cool cheap cable that works well. I folded one of the connectors very badly but it was my fault. One thing to consider with the cable is to tighten the connectors once in a while. You will be able to hear them rattle. It seems that the ""retro"" look is screwing connectors on a black rubber, but other than it, the cable looks cool and works well. I also have the shorter red cable that goes perfectly with one of my guitars. I bought these theses to use while practicing with other people who use black cables. It is easier to connect to different amps without cutting someone by accident. The green cable is good for that. ",4
5,"This is a cool, cheap cable that works well. I have bent one of the connectors pretty bad, but that was my fault. One thing to consider with the cable is to turn the connectors once. You will be able to hear them rattling. It seems that the 'retro' look on connectors is on a black rubber, but other than that, the cable looks cool and works well. I also have the shorter red cable that fits perfectly with one of my guitars. I bought them to use while practicing with others who use black cables. It is easier to connect in various amps without having a person by accident. The green cable is good for that. ",4
6,Very good cable. Well done and it looks great with my Apple Red Tele Candy. The reason I gave him only 4 stars is because she tends not to lay flat on the floor. ,4
7,Very good cable. Made well and it looks great with my candy apple red. The reason I only gave 4 stars is because it tends to not lay flat on the ground. ,4
8,I can not go wrong. High quality on a budget price - Hosa is the time you have to hang things ,4
9,Can't go wrong. Great quality on a budget price - Hosa is the go to when you have to crochet things ,4
10,HSA XLR cables are affordable and very strongly made. I have a large mixer and racks and cables everywhere. I decided to buy shorter cables and measuring HOSA 5ft cables worked perfectly. You will really not be disappointed with these. ,4
11,The Hosa XLR cables are affordable and very heavily made. I have a large mixer and rack and cables everywhere. I decided to buy shorter cables and the Hosa cables 5ft measurement worked perfectly. You will not be disappointed with it. ,4
12,"Hosa products are a good shot for buck. I have not looked up on the specifications, but I guess the thread is 22 to 24 AWG, but as it is only 10 'long, it's pretty good. ",4
13,"Hosa products are a good bang for the goat. I have not sought the specifications, but I suspect that the wire is 22 to 24 AWG, but because it is only 10 'long, it is good enough. ",4
14,"This cable seems to be like that will last for a moment. As it is only used to connect a diabolical box, it will not be abused as much as voice microphones always do it. ",4
15,"This cable seems to take a while. Because it is only used to connect a DI-box, it is not abused as much as the vocal microphones always do. ",4
16,"It's not the biggest but they are cheap and they accelerate quickly when you need it. I had only a failure and I bought many of them to use in our broadcast studio.Amazon is the first place I'm going when I need cables for audio, video, computers or lighting the concert. Good music to all! ",4
17,"These are not the best, but they are cheap and they come quickly when you need them. I have only failed one and I bought many of them to use in our temporary studio. Amazon is the first place that I go when I need cables for audio, video, computers or concert lighting. Good music for everyone! ",4
18,"It is a fine cable at a decent price price, nothing exceptional spirit, but that does enough work. ",4
19,"This is a fine cable at a decent price point, nothing exceptional spirit, but it gets the job done well enough. ",4
20,"I bought this cordon after returning a cheap that I should have known better than buying. My son, who has some experience as a musician recommended the HOSA brand when I was looking for an appropriate replacement. I bought it for a small home recording configuration that includes a Behringer C C-1 condenser microphone. -1 and a Behringer Xenyx 302 mixer, and both ends make a reliable connection to both the card and the microphone; The sound quality is excellent. Excellent value for money for money. ",4
21,"I bought this cord after returning a cheap that I should have known than to buy. My son, who has an experience as a musician recommended the Hosa brand when I was looking for a good replacement. I bought it for a small home recording setting that includes a Behringer C-1 condenser microphone and a Behringer Xenyx 302 mixer and both ends Make a reliable connection to both the board and the microphone; The sound quality is excellent. An excellent value for the money. ",4
22,"It's a very good cable for the price. I have already folded an end, thankfully, it always works well. Inside the phono connector, the wires are covered with white shrink plastic. I did not notice any buzzing or crunches. Shugly a good purchase. ",4
23,"This is a very nice cable for the price. However, I have already bent an end, luckily it still works well. Inside the Phono connector the wires are covered with white shrink art. Didn't notice any bum or crackles. Certainly a good buy. ",4
24,Cheap texture rubber and good that does not know. Only the time will indicate how well the weld will be. That seems alright to me. ,4
25,Cheap and good texture rubber that is not stiff. Only the time will see how well it is soldering. Sounds good to me. ,4
26,"I am not difficult on the cables. I usually branches to my guitar, do not move a lot, and play for an hour or two a day. This one seems to perform well. No buzz and / or other rated noises. I have many of them and they all performed well. ",4
27,"I'm not hard on cables. I usually just connect them to my guitar, don't move much, and play for an hour or two per day. This seems great to perform. No buzz, and / or other sounds listed. I have several and they all performed well. ",4
28,"This my second guitar cable Hosa. (The other is shorter.) As my first Hosa cable, it is a high quality article. I would certainly buy more cables of this brand. ",4
29,"This my second Hosa guitar cable. (The other is shorter.) Like my first Hosa cable, this is an item of high quality. I would definitely buy more cables from this brand. ",4
30,Good product at a good price. Used it several times and works well with my guitar and my conference. Awesome to have when friends come to jam. ,4
31,Good product at a good price. Have used it several times and works well with my guitar and speaker. Great to have when friends come to jam. ,4
32,"The quality of the hosa cable can be everywhere, some of their products are good (good good, reliable, durable, long-lasting) and some of their products are not good (affecting the negative sound, break prematurely, short service life ) These guitar cords are actually nice enough, they feel good (gentle soft rubber jacket like mogami), they sound well and they work so far reliably, the rubber jacket is about .25 & # 34; In diameter (per eye) and there is a short narrowing of heat to add strength where the wire enters the plug. I bought it when I needed fast cables for an internet concert, we had Many pedals and signal splits to connect. These cables arrived in good working order and we use them continuously since. We have on a dozen tube amps and are particularly peculiar to the degradation of sound, but so far, these cables did not disappoint anyone. I would buy more if I needed it. ",4
33,"Hosa cable quality can be anywhere, some of their products are good (sound good, reliable, long-term) and some of their products are not good (influencing noise negative, breemy, short useful life). These guitar cords are actually very nice, they feel good (GoOey soft rubber jacket such as Mogami), they sound good and so far they work reliably, the rubber jacket is approximately .25 & # 34; In diameter (in eye) and a short heat shrink has been overestimated to add strength where the wire enters the plug. I bought this when I needed cables quickly for an internet concert, we had many pedals and signal splits to connect. These cables arrived in good condition and we are constantly using them since. We have more than a dozen tube amplifiers and are very special about sound degradation, but so far these cables have not disappointed. I would buy more if I needed them. ",4
34,"For the price, fantastic. They feel light and do not trust the quality of construction on the stress points of the keys (where the cable meets the connector), but again, I will not push. I will not push that. Experience your guitar on an accident when he is plugged in and ... who knows.But for seven dollars, he does the job. Recommended If you do the ""Beginner"" thing and tests the waters. Spend more dollars for something with higher chances of sustainable. ",4
35,"For the price, fantastic. They feel light and I do not trust the build quality on the main stress points (where cable with connector measures), but again, I'm not going to push it when it is connected and ... who knows. But it gets the job for seven dollars. Recommended if you do the ""beginner"" thing and test the waters. On the other hand, spend a few dollars for something with a higher chance of permanent. ",4
36,Only the complaint is the size of my fault. If you can buy at least 15 feet if you plan to use it on stage. ,4
37,Only complaint is the size that my fault is. If you can buy at least 15 feet if you want to use it on the stage. ,4
38,"I use this for about 3 weeks now - they are strong but flexible and do not seem to develop folds or folding ""habits"" if you tighten them correctly. I have seen better cables but not at this price. And I certainly saw bad enough! It's a very sweet place, in my opinion. ",4
39,"I have already used it about 3 weeks - they are strong, but flexible and do not seem to develop kinks or ""habits"" if you roll them in the right way. I have seen a number of better cables and used at this price. And I definitely seen a bit worse! In my opinion this is a pretty good sweet place. ",4
40,"If you are like me, you probably have bought this to hang an XLR microphone to a digital recorder or PC.It works well for practical type recorders.Muel forgets to hang this directly to a PC. Far too noise. ",4
41,"If you are on me, you have probably bought this to connect an XLR microphone to a digital recorder or a PC.it works great for the handy type of recorders. Don't forget it directly to a PC. Far too much noise. ",4
